num-seq	names-seq	longseq	longwin	nbrBubble	TempDenDG	SomBuLong1	SomSurfCGL1	DenLen1Tem	DenSurf1Tem	LongPlusLongBulle	SurfPlusLongBulle	Den_Reg1	Den_Reg2	Den_Reg3	Den_Reg4	Den_Reg5	Den_Reg6	PcA	PcT	PcG	PcC	PcAA	PcAT	PcAG	PcAC	PcTA	PcTT	PcTG	PcTC	PcGA	PcGT	PcGG	PcGC	PcCA	PcCT	PcCG	PcCC	diffCGMax%Bu	%CMaxBu	%GMinBu	diffCGmoy%	%CMoyBu	%GMoyBu	%AMoyBu	%TMoyBu	Nb_Reg1Bu	Nb_Reg2Bu	Nb_Reg3Bu	Nb_Reg4Bu	Nb_Reg5Bu	Nb_Reg6Bu	PcTTT	PcTTC	PcTTA	PcTTG	PcCTT	PcCTC	PcCTA	PcCTG	PcATT	PcATC	PcATA	PcATG	PcGTT	PcGTC	PcGTA	PcGTG	PcTAT	PcTAC	PcTAA	PcTAG	PcCAT	PcCAC	PcCAA	PcCAG	PcAAT	PcAAC	PcAAA	PcAAG	PcGAT	PcGAC	PcGAA	PcGAG	PcTCT	PcTCC	PcTCA	PcTCG	PcCCT	PcCCC	PcCCA	PcCCG	PcACT	PcACC	PcACA	PcACG	PcGCT	PcGCC	PcGCA	PcGCG	PcTGT	PcTGC	PcTGA	PcTGG	PcCGT	PcCGC	PcCGA	PcCGG	PcAGT	PcAGC	PcAGA	PcAGG	PcGGT	PcGGC	PcGGA	PcGGG	
27	T024	499	422	8	Empty	288	1852.5641025640994	577.1543086172345	3712.553311751702	155	1379.4871794871765	122.24	54.11	30.06	12.02	2.0	0.0	28.86	27.05	20.64	23.45	7.43	7.23	5.22	6.83	4.62	6.63	7.03	7.03	7.83	5.02	3.41	4.42	6.83	6.43	5.02	4.22	20.512820512820515	0.358974358974359	0.1282051282051282	8.89991728701406	0.291232423490488	0.2022332506203474	0.2562448304383788	0.25028949545078577	31	12	5	2	0	0	1.6	3.01	2.2	1.0	1.6	1.4	0.6	2.2	2.2	1.4	0.6	2.81	2.2	0.6	1.0	1.0	1.8	1.0	1.2	0.6	1.2	1.8	2.0	1.8	2.0	3.21	2.0	1.6	2.2	0.8	3.61	1.2	2.4	1.2	2.0	1.0	0.8	0.8	1.8	1.4	2.2	2.0	1.0	1.6	0.6	0.8	2.0	1.0	1.4	0.8	3.21	1.6	1.2	1.4	1.2	1.0	1.6	0.8	2.0	0.8	0.8	1.2	1.4	0.0
28	T006	499	422	9	Empty	260	1234.6153846153843	521.0420841683366	2474.17912748574	71	219.23076923076917	102.2	36.07	18.04	10.02	4.01	2.0	26.65	27.25	21.84	24.25	6.43	8.03	3.41	6.63	6.63	6.22	6.83	5.82	4.82	5.82	3.41	7.43	6.43	5.42	7.83	4.42	7.692307692307693	0.3333333333333333	0.24358974358974358	3.0877573131094236	0.2948717948717949	0.26399422174070064	0.25532683279162155	0.18580715059588299	15	7	5	4	2	1	1.6	1.8	2.61	1.4	1.2	0.8	1.2	2.2	2.61	2.0	1.4	2.0	2.0	1.2	1.4	1.0	2.0	1.6	2.2	0.8	2.4	1.6	1.8	0.4	1.6	2.61	1.8	1.2	1.8	0.6	1.4	0.8	1.2	1.4	1.8	1.4	1.4	0.0	1.4	1.6	1.4	1.4	1.6	2.0	1.4	1.6	1.6	2.61	1.8	1.4	1.8	1.4	1.6	2.2	2.0	1.6	0.6	2.0	0.4	0.4	1.4	1.4	0.6	0.4
29	T023	499	422	1	Empty	285	2203.8461538461506	571.1422845691383	4416.52535840912	285	2203.8461538461506	106.21	44.09	22.04	6.01	2.0	0.0	27.05	28.46	21.44	23.05	6.83	7.63	3.61	6.22	4.62	7.23	7.03	6.43	5.42	5.22	4.02	6.22	7.43	5.42	6.02	3.21	17.94871794871795	0.2948717948717949	0.08974358974358974	7.732793522267206	0.2446693657219973	0.16734143049932523	0.2788573999100315	0.30913180386864597	45	22	11	3	1	0	2.4	1.4	2.0	2.4	1.6	1.4	0.6	1.6	3.21	2.0	0.4	1.8	1.0	1.6	1.4	1.2	0.8	0.8	2.61	0.4	2.0	2.0	1.8	1.6	2.81	2.0	2.81	1.0	2.0	1.4	1.4	0.6	1.8	0.6	2.2	1.8	0.8	1.0	1.0	1.2	1.2	1.0	2.4	1.6	1.6	1.4	1.8	1.4	1.2	2.0	2.61	1.2	2.0	1.6	1.4	1.0	1.2	0.6	0.4	1.4	0.8	1.8	1.0	0.6
30	T090	699	622	10	Empty	277	1330.7692307692312	396.28040057224604	1903.8186420160675	98	789.7435897435905	115.88	50.07	20.03	4.29	1.43	0.0	24.32	24.18	26.47	25.04	5.44	6.3	6.02	4.3	5.16	5.16	7.31	4.58	6.3	5.01	5.01	9.17	5.01	5.73	7.31	5.73	12.820512820512821	0.2948717948717949	0.08974358974358974	8.058608058608058	0.23063840920983777	0.1500523286237572	0.3096546310832025	0.3096546310832025	18	8	2	0	0	0	1.86	1.57	1.29	1.86	1.86	0.72	0.57	2.58	1.43	1.43	1.86	1.57	1.43	0.86	1.43	1.14	1.43	1.0	1.72	1.0	1.14	1.14	1.29	1.29	1.14	1.14	1.86	2.0	2.58	0.86	1.14	1.57	1.29	1.14	1.14	1.0	1.72	1.29	1.14	2.72	0.72	1.43	1.29	0.72	2.0	3.0	1.29	2.43	1.0	2.58	1.72	2.0	1.86	2.15	1.43	1.43	0.86	2.15	1.72	1.29	1.29	2.0	1.43	0.86
31	T036	299	222	3	Empty	174	1708.974358974358	581.9397993311036	5715.633307606548	163	1697.4358974358965	140.47	66.89	30.1	10.03	0.0	0.0	23.08	24.41	24.08	28.43	5.03	6.71	5.03	5.7	4.03	6.04	7.05	6.38	4.03	5.37	4.7	8.39	9.4	5.37	6.04	6.38	21.794871794871792	0.38461538461538464	0.14102564102564102	10.413717162183419	0.3066698128047821	0.20253264118294792	0.24681453515809346	0.2439830108541765	36	19	9	3	0	0	1.0	2.68	1.34	1.67	1.34	0.67	1.67	1.67	2.34	1.0	0.33	3.01	2.01	2.01	0.67	0.67	1.67	1.0	1.0	0.33	2.01	2.01	2.34	2.68	1.34	1.67	0.67	1.67	1.67	0.67	1.34	0.33	1.0	2.01	2.01	1.0	1.0	1.34	2.01	2.34	1.0	1.34	2.34	1.0	2.01	2.01	2.68	1.67	1.34	3.01	1.34	1.34	1.34	1.67	1.0	1.67	1.0	2.01	0.67	1.34	1.67	1.67	1.0	1.0
32	T011	499	422	4	Empty	374	2584.6153846153784	749.498997995992	5179.589949129015	169	1626.9230769230714	128.26	50.1	14.03	2.0	0.0	0.0	27.45	22.65	22.44	27.45	6.02	6.63	4.42	6.83	3.61	4.62	7.23	5.62	7.03	4.02	3.61	7.63	7.23	6.02	7.03	5.42	17.94871794871795	0.34615384615384615	0.14102564102564102	9.626763768775604	0.29289940828402367	0.19663177059626763	0.2953269610074344	0.21514186011227432	34	13	4	0	0	0	1.4	1.8	1.0	1.0	0.4	1.2	1.0	3.41	1.8	1.0	1.4	2.2	1.6	1.6	0.2	0.6	1.2	1.6	0.6	0.0	1.8	1.2	2.81	1.4	1.6	1.8	3.01	2.0	1.8	2.2	2.0	1.0	1.0	1.0	1.8	1.8	1.2	1.8	1.8	2.0	2.2	1.0	1.8	1.8	1.4	3.01	1.8	1.0	0.6	2.4	3.01	1.2	1.4	2.0	1.8	1.6	0.8	1.4	1.4	0.8	1.2	1.6	0.8	0.2
33	T034	499	422	6	Empty	257	2544.871794871797	515.0300601202405	5099.943476696988	116	1875.641025641028	102.2	36.07	10.02	2.0	0.0	0.0	32.87	29.66	16.63	20.84	8.84	11.85	4.42	5.42	9.04	7.23	5.02	5.62	5.02	3.01	2.61	5.22	7.43	5.02	3.82	3.21	28.205128205128204	0.34615384615384615	0.05128205128205128	16.169319186560564	0.26646772767462423	0.10477453580901856	0.31852343059239613	0.31023430592396106	21	5	0	0	0	0	2.4	1.4	3.61	1.4	1.8	0.8	1.4	0.8	3.81	2.2	3.01	2.2	0.8	1.0	0.6	0.6	2.81	1.6	3.21	1.0	2.81	0.8	2.4	1.2	4.01	2.4	2.0	1.4	1.8	0.4	2.0	0.8	1.2	1.0	2.61	0.6	1.0	1.4	1.4	0.6	1.4	0.8	2.0	1.2	1.2	1.2	1.4	1.4	0.6	1.6	1.6	1.2	1.2	0.8	1.4	0.4	0.8	1.8	1.2	0.6	0.4	1.0	0.8	0.8
34	T008	499	422	5	Empty	222	2111.5384615384637	444.8897795591182	4231.540003083093	165	1888.4615384615408	130.26	54.11	26.05	10.02	2.0	0.0	22.85	27.86	23.25	26.05	6.02	7.23	2.41	4.62	5.82	6.02	7.43	6.83	3.01	5.22	5.42	8.43	5.42	7.63	6.83	4.82	20.51282051282051	0.358974358974359	0.10256410256410256	11.44522144522145	0.27451437451437455	0.16006216006216006	0.23791763791763793	0.3275058275058275	37	19	11	5	1	0	1.6	2.0	2.4	0.8	2.4	1.6	0.6	2.81	1.4	2.61	1.2	1.8	1.4	0.4	1.4	1.4	1.4	1.4	2.2	0.6	1.8	1.0	1.8	0.8	2.0	2.0	2.4	1.0	1.8	0.2	1.0	0.0	1.8	1.6	2.4	0.6	2.2	1.4	0.6	1.8	1.6	1.0	0.6	1.4	1.6	2.0	1.8	2.81	1.6	2.61	1.0	1.6	1.4	2.2	0.4	2.61	0.4	0.8	0.2	1.0	1.4	2.61	1.2	1.0
35	T015	299	222	2	Empty	133	1002.5641025641021	444.81605351170566	3353.057199211044	130	999.9999999999995	103.68	53.51	26.76	3.34	0.0	0.0	24.08	24.75	25.08	26.09	5.37	6.04	5.37	6.38	5.37	5.7	6.71	5.37	5.7	4.7	4.36	9.4	6.71	6.71	7.72	4.03	16.666666666666668	0.3076923076923077	0.14102564102564102	7.69230769230769	0.27080867850098617	0.19388560157790927	0.2597633136094674	0.27554240631163707	26	13	6	0	0	0	1.67	0.67	2.34	1.67	2.34	1.34	0.67	2.01	1.34	2.68	0.67	1.34	1.0	0.33	1.67	1.67	3.01	0.67	1.0	0.67	1.0	1.0	2.34	2.34	0.33	2.68	0.67	1.67	1.67	2.01	1.0	0.67	1.0	1.0	1.0	2.01	2.01	1.0	0.67	1.34	1.34	2.01	1.0	2.01	2.01	1.0	4.01	2.34	1.34	2.68	1.67	1.0	2.01	2.68	1.34	1.67	0.0	2.34	1.67	1.34	1.34	1.67	1.0	0.67
36	T028	499	422	1	Empty	301	2205.1282051281964	603.2064128256513	4419.094599455303	301	2205.1282051281964	98.2	32.06	14.03	6.01	2.0	0.0	31.26	20.44	23.85	24.45	9.04	6.02	5.62	7.03	6.02	3.21	6.02	3.61	5.42	5.02	5.02	7.63	7.03	4.82	6.43	5.22	14.102564102564104	0.32051282051282054	0.11538461538461539	7.326007326007325	0.2747678677911236	0.20150779453105036	0.3159127694011415	0.20781156827668454	42	14	6	3	1	0	1.2	0.6	1.4	1.0	0.6	0.8	1.4	2.0	1.2	2.0	1.0	1.6	1.2	0.2	2.2	1.4	1.6	1.8	2.4	0.2	1.6	0.6	2.2	2.4	1.8	3.41	3.41	2.4	1.0	1.0	3.01	0.4	0.4	0.4	1.6	1.2	1.4	1.0	2.61	1.2	1.0	2.2	1.6	2.2	2.0	2.61	1.2	1.8	1.2	1.6	1.0	2.2	1.0	2.61	1.2	1.4	1.2	2.0	1.6	0.8	1.6	1.2	1.6	0.8
37	T088	822	745	0	Empty	0	0	0.0	0.0	0	0	110.71	45.01	14.6	7.3	3.65	2.43	21.65	20.32	33.21	24.82	5.72	3.9	5.6	4.87	3.17	2.8	7.92	6.21	7.8	8.4	7.06	8.77	3.41	4.99	11.57	4.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	1.95	0.36	0.49	0.49	0.73	0.73	3.04	0.36	1.95	0.73	0.85	1.95	1.58	1.34	3.28	0.97	0.97	1.09	0.12	0.73	0.73	0.36	1.58	0.73	1.7	1.58	3.16	1.46	1.46	4.14	0.61	1.34	1.7	0.73	2.43	0.73	0.36	0.73	2.92	1.09	0.85	0.73	2.19	1.7	1.82	1.22	3.77	1.09	2.55	1.58	2.43	3.16	1.82	3.65	2.92	1.34	1.7	1.09	1.46	2.68	2.68	1.46	1.09
38	T055	780	703	0	Empty	0	0	0.0	0.0	0	0	71.79	28.21	12.82	7.69	1.28	0.0	14.23	25.51	37.31	22.95	3.21	3.98	3.72	2.44	1.93	5.91	10.91	4.11	5.39	7.45	9.24	13.35	2.82	5.65	11.42	2.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31	1.54	0.77	3.21	0.77	0.0	0.51	4.23	1.28	0.77	0.38	1.54	3.46	1.79	0.26	1.92	0.77	0.77	0.13	0.26	0.77	0.38	0.9	0.77	1.03	0.38	0.9	1.41	1.41	0.9	1.79	1.28	1.03	0.38	0.77	1.92	0.38	0.26	0.51	1.92	0.13	0.77	0.13	1.41	4.1	1.67	1.41	5.38	2.05	2.44	1.28	5.13	2.05	4.23	1.67	2.82	0.64	1.28	0.9	0.9	2.69	4.62	1.54	1.92
39	T040	499	422	7	Empty	243	1541.0256410256416	486.9739478957916	3088.2277375263357	141	1000.0000000000007	138.28	72.14	42.08	28.06	12.02	2.0	21.04	28.66	23.85	26.45	4.82	6.43	3.01	5.42	3.82	6.02	8.03	8.43	5.02	6.02	5.02	7.23	6.22	7.63	7.23	4.22	15.384615384615385	0.32051282051282054	0.15384615384615385	7.092198581560289	0.2837788688852519	0.212856883069649	0.22394980905619205	0.27941443898890705	31	14	8	6	3	0	2.2	2.81	1.2	1.6	2.0	1.6	1.4	2.61	1.6	2.4	1.2	1.2	2.0	1.4	0.0	2.4	1.4	1.2	1.0	0.2	1.6	1.0	2.2	1.4	1.4	1.8	1.2	0.8	2.0	1.4	1.0	0.6	2.81	1.4	1.0	3.01	1.6	1.2	1.2	1.2	1.0	0.8	1.6	1.4	2.0	1.8	1.8	1.4	1.4	2.0	2.2	2.4	2.2	2.2	0.6	2.0	0.6	1.0	0.8	0.6	1.8	1.8	1.4	0.6
40	T014	499	422	2	Empty	313	2897.4358974358875	627.2545090180361	5806.484764400576	300	2882.051282051272	128.26	72.14	38.08	22.04	14.03	10.02	23.85	23.65	24.05	28.46	5.82	5.62	4.82	6.02	4.82	5.22	6.63	5.82	4.42	5.02	4.22	9.64	7.43	6.63	7.43	5.82	23.076923076923077	0.4230769230769231	0.15384615384615385	9.606837606837612	0.3202991452991453	0.2242307692307692	0.21243589743589744	0.24303418803418803	52	30	17	10	7	5	1.0	1.4	2.0	1.2	1.4	1.4	1.0	2.81	1.8	1.6	0.8	1.4	1.4	1.4	1.0	1.2	1.4	1.2	1.4	0.6	0.8	1.2	3.21	2.2	1.6	2.2	1.2	1.6	1.6	1.4	0.8	0.4	1.4	0.8	2.4	1.2	0.8	1.2	1.6	3.21	1.4	2.2	0.8	1.6	3.01	2.61	2.61	1.2	0.8	3.01	1.2	1.6	1.8	3.21	1.0	1.4	1.0	1.8	0.6	1.2	1.2	1.6	1.4	0.8
41	T097	499	422	8	Empty	219	1062.8205128205125	438.87775551102203	2129.900827295616	118	808.9743589743587	104.21	38.08	10.02	0.0	0.0	0.0	24.05	24.85	25.85	25.25	5.42	4.42	5.62	7.23	5.22	5.82	7.03	5.42	6.02	6.22	4.62	7.63	6.02	6.83	7.43	4.62	15.384615384615385	0.358974358974359	0.15384615384615385	6.855714906562368	0.2796610169491526	0.2111038678835289	0.19730551933941765	0.3119295958279009	24	9	2	0	0	0	1.4	2.0	1.8	1.6	2.0	1.4	0.6	2.81	1.2	0.6	1.2	1.4	2.2	1.4	1.4	1.2	1.2	2.2	1.2	0.6	1.4	1.0	1.6	2.0	1.0	1.8	1.4	1.6	0.8	2.2	1.6	1.0	0.6	1.4	1.8	1.6	2.2	0.4	1.0	1.2	2.61	1.6	1.8	1.0	1.4	1.4	1.2	3.01	1.4	2.0	1.2	2.0	2.0	2.0	1.6	1.4	1.2	1.8	1.6	0.6	1.2	1.6	1.2	1.2
42	T064	429	352	8	Empty	247	852.5641025641025	575.7575757575758	1987.3289104058333	76	352.5641025641025	93.24	23.31	4.66	0.0	0.0	0.0	22.61	28.67	24.24	24.48	4.21	5.61	3.27	7.71	7.01	6.31	7.24	4.91	4.21	7.48	4.44	7.48	5.14	6.07	8.88	4.21	8.974358974358974	0.3076923076923077	0.21794871794871795	4.639001349527663	0.2899797570850202	0.24358974358974358	0.19905533063427802	0.2673751686909582	16	6	1	0	0	0	3.03	1.17	2.1	2.33	2.33	0.93	1.63	1.17	1.4	0.7	1.17	2.1	1.86	2.1	1.86	1.4	1.4	2.8	1.4	0.93	0.93	2.33	0.93	0.93	0.93	2.1	1.86	1.17	1.86	0.47	1.63	0.23	1.17	0.7	1.17	1.86	1.4	0.23	0.93	1.86	1.86	2.1	1.86	1.86	1.63	1.4	1.17	2.8	1.86	2.1	1.17	1.86	3.26	1.86	1.63	1.63	0.93	0.93	0.47	0.93	1.17	2.1	0.93	0.47
43	T089	762	685	0	Empty	0	0	0.0	0.0	0	0	76.12	19.69	3.94	0.0	0.0	0.0	21.65	18.64	35.17	24.54	5.12	6.04	4.47	4.34	3.55	2.89	7.75	4.34	6.7	5.78	8.54	12.48	4.6	3.81	12.88	2.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0.92	0.79	1.18	0.26	0.52	0.39	2.62	1.05	2.23	0.79	1.97	1.57	0.66	1.57	1.97	1.18	0.92	0.92	0.39	1.84	0.66	0.92	1.18	1.18	1.18	1.44	1.97	1.71	1.57	2.49	0.92	0.79	0.52	1.18	1.84	0.13	0.39	0.92	1.84	0.39	1.31	0.39	2.23	2.49	1.05	1.97	5.77	1.05	1.97	1.71	3.02	2.1	3.54	2.62	3.81	0.66	1.84	0.66	1.31	1.97	4.46	1.71	1.57
44	T056	865	788	0	Empty	0	0	0.0	0.0	0	0	97.11	38.15	12.72	4.62	2.31	1.16	17.46	27.28	33.18	22.08	3.12	6.6	3.82	3.01	4.51	7.18	7.64	5.56	5.44	6.94	9.38	9.38	3.47	4.17	10.3	3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97	2.2	2.54	1.62	1.16	0.23	0.23	2.54	2.66	1.39	0.23	2.31	2.54	1.73	1.5	1.04	2.2	0.81	1.04	0.35	1.39	0.46	0.35	1.16	0.58	0.81	0.81	1.5	2.31	0.81	1.5	0.81	1.5	0.69	0.81	2.54	0.23	0.46	0.69	2.54	0.58	0.92	0.35	1.16	1.85	1.85	1.62	3.7	1.04	1.16	1.39	3.93	1.97	3.01	1.5	3.7	0.81	1.16	0.58	1.27	3.01	3.93	1.97	1.85
45	T005	489	412	8	Empty	133	769.2307692307693	271.9836400817996	1573.0690577316345	65	684.6153846153848	118.61	55.21	26.58	16.36	12.27	6.13	24.95	27.2	24.54	23.31	6.76	7.17	4.3	4.92	4.3	5.33	9.43	6.35	6.35	5.94	4.71	6.56	5.74	6.97	5.12	4.51	17.94871794871795	0.34615384615384615	0.14102564102564102	10.532544378698224	0.28402366863905326	0.178698224852071	0.23767258382643	0.2996055226824457	21	13	10	8	6	3	1.64	1.43	1.84	1.64	1.64	1.64	0.0	3.48	1.43	1.84	1.23	2.66	1.64	1.23	1.23	1.43	1.64	0.61	1.64	0.41	1.43	1.23	1.43	1.64	2.04	1.84	1.84	2.04	2.04	1.23	2.86	0.2	2.04	0.82	1.84	1.43	1.23	1.02	1.84	1.43	1.84	1.84	0.41	0.82	1.64	1.84	1.64	1.43	2.04	2.66	2.66	2.04	1.43	1.02	1.43	1.23	0.41	1.23	1.43	1.23	2.04	1.64	0.82	0.82
46	T037	549	472	2	Empty	379	4521.794871794858	690.3460837887068	8236.420531502476	354	4482.051282051269	162.11	89.25	47.36	30.97	18.21	10.93	23.32	25.32	21.68	29.69	4.56	7.12	3.47	6.39	4.01	5.11	7.66	7.12	5.47	4.74	4.01	7.12	7.66	6.75	6.2	7.48	23.07692307692308	0.41025641025641024	0.11538461538461539	12.661161813704187	0.3161668839634941	0.18955526582645227	0.22761842677096913	0.26665942343908444	73	45	26	17	10	6	1.46	1.46	1.82	1.46	1.64	1.64	1.09	2.19	2.0	2.37	0.55	2.19	1.09	1.28	0.55	1.64	1.46	1.09	1.46	0.0	1.82	2.37	0.55	2.55	1.82	1.46	1.46	0.55	2.0	1.28	1.82	0.36	1.28	2.0	2.37	1.46	1.82	1.64	2.91	2.55	1.82	2.73	0.73	1.09	1.82	2.55	1.64	1.09	1.09	2.19	2.37	2.0	1.28	2.37	1.28	1.28	0.73	0.91	1.28	0.55	1.64	1.64	0.55	0.36
47	T091	462	385	7	Empty	256	2030.7692307692291	554.1125541125541	4395.604395604392	125	1305.1282051282033	145.02	90.91	62.77	34.63	19.48	12.99	25.32	23.16	24.46	27.06	5.64	5.86	5.64	5.86	5.21	4.77	5.42	6.94	6.94	5.86	4.56	6.72	4.99	5.86	8.68	6.72	21.794871794871796	0.38461538461538464	0.15384615384615385	10.441025641025641	0.3111794871794872	0.20676923076923076	0.21938461538461537	0.26266666666666666	31	20	15	10	7	6	0.87	1.3	2.16	1.08	0.87	1.73	1.3	1.52	2.38	1.95	0.22	1.3	1.3	1.52	1.52	1.52	1.95	1.73	1.3	0.22	1.08	1.3	1.3	1.08	1.08	1.08	2.16	3.03	1.73	1.52	2.38	1.3	1.08	1.95	1.52	1.95	1.73	0.87	1.52	3.25	0.87	3.25	0.65	1.08	1.73	1.3	1.3	1.95	1.08	0.65	2.16	1.52	2.6	2.38	1.95	1.52	0.43	2.16	1.52	1.52	1.73	1.3	1.3	0.22
48	T029	312	235	2	Empty	95	564.1025641025639	304.48717948717945	1808.021038790269	77	526.9230769230767	112.18	41.67	16.03	3.21	0.0	0.0	23.4	25.0	25.96	25.64	4.5	7.07	4.18	5.79	3.86	6.11	6.75	6.43	6.43	5.79	4.18	8.68	7.07	3.86	9.97	4.5	12.82051282051282	0.28205128205128205	0.15384615384615385	6.843156843156844	0.2585747585747586	0.19014319014319014	0.2897102897102897	0.26157176157176154	15	7	4	1	0	0	1.92	1.6	1.92	1.92	1.28	0.64	0.32	1.6	2.56	2.24	0.32	1.92	1.6	1.6	1.28	1.28	0.96	0.96	1.28	0.64	2.24	1.28	0.96	2.24	1.28	2.24	1.6	0.64	2.56	0.96	1.92	0.32	1.28	1.28	2.24	1.6	0.32	0.32	1.92	2.24	0.64	1.28	1.6	2.24	1.6	1.92	1.28	3.85	0.32	2.88	2.24	1.28	3.21	2.24	1.92	2.24	1.28	1.28	0.96	0.32	0.96	1.92	0.96	0.96
49	T052	518	441	11	Empty	264	825.6410256410256	509.65250965250965	1593.901593901594	80	310.2564102564103	113.9	42.47	17.37	9.65	1.93	0.0	29.34	24.71	22.78	23.17	6.96	8.32	5.22	5.8	5.22	3.87	7.35	7.35	7.74	5.22	3.48	6.0	6.38	6.19	6.38	3.48	8.974358974358978	0.3333333333333333	0.23076923076923078	3.8782051282051313	0.2951923076923077	0.2564102564102564	0.2644230769230769	0.18397435897435896	14	5	0	0	0	0	0.97	1.93	0.77	0.97	0.39	1.74	1.35	2.51	2.12	1.93	1.74	2.51	1.16	1.54	1.35	1.16	1.54	1.16	1.93	0.58	1.93	0.58	2.32	1.54	2.32	1.54	2.51	2.12	2.51	2.51	1.74	0.97	1.93	0.19	2.7	1.93	1.16	0.58	0.77	1.54	1.35	2.12	1.54	0.77	1.35	1.16	1.35	2.12	1.54	1.16	3.47	1.16	1.54	1.35	2.12	1.16	1.16	1.54	1.35	1.16	0.97	1.74	0.77	0.39
50	T035	249	172	2	Empty	106	484.6153846153844	425.70281124497996	1946.2465245597768	79	396.15384615384596	96.39	52.21	36.14	20.08	12.05	8.03	29.72	26.91	21.69	21.69	6.85	7.66	6.45	6.85	7.26	5.65	6.05	4.84	6.85	6.05	4.03	4.84	6.85	4.84	5.24	3.23	11.53846153846154	0.2564102564102564	0.1282051282051282	5.0146056475170395	0.22914638104511523	0.17900032456994483	0.32181110029211296	0.270042194092827	16	6	5	4	2	1	2.81	1.2	2.01	1.61	1.2	0.8	1.61	0.8	1.2	2.01	2.01	2.41	2.41	0.8	1.61	1.2	3.21	2.41	1.61	0.0	0.8	0.8	2.81	2.41	2.81	1.61	1.61	2.01	0.8	2.01	2.01	2.01	0.8	0.4	2.01	1.61	0.8	1.2	1.2	0.4	1.2	1.61	2.41	1.61	2.01	0.4	1.2	0.8	1.2	0.8	2.81	1.2	2.41	1.2	0.8	0.8	1.2	1.61	1.61	2.01	1.2	1.2	1.61	0.0
51	T010	401	324	6	Empty	119	992.3076923076923	296.7581047381546	2474.5827738346443	98	978.2051282051283	102.24	37.41	19.95	9.98	2.49	0.0	28.43	30.67	21.45	19.45	6.5	10.0	6.5	3.5	6.25	8.25	6.25	7.0	6.75	3.75	4.0	5.75	6.75	5.75	3.75	2.75	19.23076923076923	0.28205128205128205	0.08974358974358974	9.98168498168498	0.2378335949764521	0.1380167451596023	0.25510204081632654	0.369047619047619	24	10	7	4	1	0	2.74	2.74	2.49	1.75	2.24	1.75	0.25	1.25	3.99	1.5	2.0	2.49	0.75	0.75	1.5	0.75	2.0	1.5	1.75	0.75	2.74	0.5	1.75	1.75	2.49	1.25	1.5	1.75	2.49	0.25	2.0	1.75	2.24	1.0	2.99	0.5	1.0	0.5	0.5	1.25	1.0	0.5	1.25	0.75	1.25	1.25	2.0	1.25	1.0	1.75	1.5	1.75	0.75	1.25	1.0	0.75	1.25	1.5	1.75	1.5	0.75	1.25	2.0	1.0
52	T067	499	422	6	Empty	141	505.1282051282051	282.5651302605211	1012.2809722008117	57	330.7692307692307	126.25	68.14	36.07	18.04	4.01	0.0	24.05	23.25	27.86	24.85	5.02	6.83	6.83	4.82	4.82	5.02	6.22	6.63	7.43	5.82	6.43	7.43	6.22	5.02	7.63	5.62	8.974358974358974	0.34615384615384615	0.23076923076923078	5.802968960863702	0.31421502474134055	0.25618533513270353	0.20850202429149797	0.22109761583445794	24	13	6	3	1	0	0.6	2.2	2.2	0.6	1.0	1.2	0.6	2.0	1.8	1.4	1.0	2.61	2.2	1.6	1.0	1.0	1.2	1.2	1.8	0.6	1.0	1.8	0.8	2.61	1.6	1.0	0.4	2.2	3.01	0.8	2.4	1.2	1.2	1.8	2.2	1.2	1.2	0.4	1.8	2.61	1.2	1.2	0.8	1.4	1.2	2.61	1.2	1.8	1.2	1.6	2.0	1.4	1.6	2.61	1.6	1.6	0.4	1.2	1.8	3.21	2.61	1.8	1.8	0.8
53	T013	529	452	9	Empty	153	425.6410256410255	289.2249527410208	804.6144152004263	64	210.25641025641028	100.19	30.25	11.34	7.56	3.78	1.89	24.95	26.09	26.09	22.87	6.63	7.01	4.17	4.73	4.73	5.68	8.52	5.3	6.82	5.3	4.55	8.14	4.55	6.06	7.58	3.6	6.410256410256412	0.28205128205128205	0.19230769230769232	3.2852564102564097	0.257411858974359	0.22455929487179488	0.29747596153846156	0.2205528846153846	15	7	5	4	2	1	1.7	1.89	1.51	1.32	0.95	0.57	1.13	3.21	1.32	1.51	1.32	2.84	2.46	0.95	0.76	1.13	1.51	2.08	0.76	0.38	0.95	0.57	1.89	1.13	2.46	1.13	2.08	1.7	2.08	0.95	2.65	0.76	1.51	0.95	0.57	2.27	0.76	1.13	1.7	0.76	1.13	1.13	0.57	1.89	2.65	1.13	1.7	2.65	1.13	2.27	3.21	1.89	1.89	1.7	1.51	2.27	1.13	1.89	0.76	0.38	1.13	2.08	1.32	1.32
