Rfam id	Name	Description	Category
RF02446	SpR18_sRNA	Streptococcus sRNA SpR18	sRNA
RF02447	SpR19_sRNA	Streptococcus sRNA SpR19	sRNA
RF02448	SpR20_sRNA	Streptococcus sRNA SpR20	sRNA
RF02449	ncr1015	Bacillus sRNA ncr1015	sRNA
RF02450	ncr1175	Bacillus sRNA ncr1175	sRNA
RF02451	ncr1241	Bacillus sRNA ncr1241	sRNA
RF02452	ncr1575	Bacillus sRNA ncr1575	sRNA
RF02453	ncr952	Bacillus sRNA ncr952	sRNA
RF02454	ncr982	Bacillus sRNA ncr982	sRNA
RF02463	Ms_AS-1	Mycobacterium sRNA Ms_AS-1	sRNA
RF02464	Ms_AS-4	Actinobacteria sRNA Ms_AS-4	sRNA
RF02465	Ms_AS-5	Mycobacterium sRNA Ms_AS-5	sRNA
RF02466	Ms_AS-8	Actinobacteria sRNA Ms_AS-8	sRNA
RF02467	Ms_IGR-2	Mycobacterium sRNA Ms_IGR-2	sRNA
RF02468	Ms_IGR-4	Mycobacterium sRNA Ms_IGR-4	sRNA
RF02469	Ms_IGR-7	Actinobacteria sRNA Ms_IGR-7	sRNA
RF02470	Ms_IGR-8	Mycobacterium sRNA Ms_IGR-8	sRNA
RF02471	Ms_IGR-5	Actinobacteria sRNA Ms_IGR-5	sRNA
RF02495	ohsC_RNA	Oppression of Hydrophobic ORF by sRNA	sRNA
RF02496	Atu_At1	Rhizobiales sRNA Atu_At1	sRNA
RF02497	Atu_C10	Rhizobiales sRNA Atu_C10	sRNA
RF02498	Atu_C3	Rhizobiales sRNA Atu_C3	sRNA
RF02499	Atu_C4	Rhizobiales sRNA Atu_C4	sRNA
RF02501	Atu_C7	Rhizobiales sRNA Atu_C7	sRNA
RF02502	Atu_C8	Rhizobiales sRNA Atu_C8	sRNA
RF02503	Atu_C9	Rhizobiales sRNA Atu_C9	sRNA
RF02504	Atu_L1	Rhizobiales sRNA Atu_L1	sRNA
RF02505	Atu_L6	Rhizobiales sRNA Atu_L6	sRNA
RF02506	Atu_Ti1	Rhizobiales sRNA Atu_Ti1	sRNA
RF02507	Atu_Ti3	Rhizobiales sRNA Atu_Ti3	sRNA
RF02508	Atu_Ti4	Rhizobiales sRNA Atu_Ti4	sRNA
RF02514	5_ureB_sRNA	5' ureB small RNA	sRNA
RF02519	ToxI	ToxI antitoxin	sRNA
RF02524	sagA	Streptococcus sRNA sagA	sRNA
RF02525	SSRC30	Streptococcus sRNA SSRC30	sRNA
RF02526	SSRC34_1	Streptococcus sRNA SSRC34	sRNA
RF02527	SSRC38	Streptococcus sRNA SSRC38	sRNA
RF02528	SSRC41	Streptococcus sRNA SSRC41	sRNA
RF02529	SSRC8_1	Streptococcus sRNA SSRC8	sRNA
RF02537	TarA	Vibrio ToxT activated RNA TarA	sRNA
RF02538	TarB	Vibrio ToxT activated RNA TarB	sRNA
RF02550	RnaG	RnaG sRNA	sRNA
RF02552	RcsR1	RcsR1 sRNA	sRNA
RF02553	YrlA	Y RNA-like	sRNA
RF02556	snaR-A	snaR-A sRNA	sRNA
RF02557	CbSR1	Coxiella burnetii sRNA 1	sRNA
RF02558	CbSR2	Coxiella burnetii sRNA 2	sRNA
RF02559	CbSR4	Coxiella burnetii sRNA 4	sRNA
RF02560	CbSR9	Coxiella burnetii sRNA 9	sRNA
RF02561	CbSR12	Coxiella burnetii sRNA 12	sRNA
RF02562	CbSR14	Coxiella burnetii sRNA 14	sRNA
RF02563	CbSR3	Coxiella burnetii sRNA 3	sRNA
RF02564	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	sRNA
RF02565	YrlB	Y RNA-like	sRNA
RF02566	Ms1	Mycobacterium smegmatis small RNA 1	sRNA
RF02567	Va-907	Vibrio alginolyticus sRNA 907	sRNA
RF02568	UptR	Escherichia coli small RNA (uptR) gene	sRNA
RF02569	IhtA	IhtA sRNA	sRNA
RF02570	BM-sr0117	Brucella melitensis small RNA 0117	sRNA
RF02571	Mcr7	mcr7 sRNA	sRNA
RF02573	LLnc147	Lactococcus lactis non-coding RNA 147	sRNA
RF02574	Ricks_sRNA10	Rickettsia sRNA 10	sRNA
RF02576	tsr1	tsr1 small RNA	sRNA
RF02577	tsr24	S. aureus tsr24 small RNA	sRNA
RF02578	tsr25	S. aureus tsr25 small RNA	sRNA
RF02579	tsr26	S. aureus tsr26 small RNA	sRNA
RF02580	tsr31	S. aureus tsr31 small RNA	sRNA
RF02581	tsr32	S. aureus tsr32 small RNA	sRNA
RF02582	tsr33	S. aureus tsr33 small RNA	sRNA
RF02583	Teg23	S. aureus Teg23 small RNA	sRNA
RF02589	Spy779816	S. pyogenes small RNA 779816	sRNA
RF02590	Spy1186876	S. pyogenes small RNA 1186876	sRNA
RF02591	Spy1786666	S. pyogenes small RNA 1786666	sRNA
RF02592	Spy392987	S. pyogenes antisense RNA 392987	sRNA
RF02593	NsiR8	Nitrogen stress-induced RNA 8	sRNA
RF02594	NsiR9	Nitrogen stress-induced RNA 9	sRNA
RF02596	cyano_het_sRNA	Cyanobacteria heterocyst sRNA	sRNA
RF02599	BASRCI408	Brucella sRNA CI408	sRNA
RF02600	BASRCI27	Brucella sRNA CI27	sRNA
RF02601	BASRCI337	Brucella sRNA CI337	sRNA
RF02602	BASRCI414	Brucella sRNA CI414	sRNA
RF02603	BASRCII26	Brucella sRNA CII26	sRNA
RF02604	BASRCI153	Brucella sRNA CI153	sRNA
RF02605	scr5239	Streptomyces sRNA scr5239	sRNA
RF02606	AbsR28	Acinetobacter sRNA 28	sRNA
RF02607	AbsR25	Acinetobacter sRNA 25	sRNA
RF02608	AbsR11	Acinetobacter sRNA 11	sRNA
RF02609	BSR0602	Brucella sRNA 0602	sRNA
RF02610	BSR0709	Brucella sRNA 0709	sRNA
RF02611	BSR0653	Brucella sRNA 0653	sRNA
RF02612	BSR1350	Brucella sRNA 1350	sRNA
RF02613	BSR0739	Brucella sRNA 0739	sRNA
RF02614	BSR1073	Brucella sRNA 1073	sRNA
RF02615	BSR0626	Brucella sRNA 0626	sRNA
RF02616	SSRC8_2	Streptococcus sRNA 8	sRNA
RF02617	SSRC10	Streptococcus sRNA 10	sRNA
RF02618	SSRC34_2	Streptococcus sRNA 34	sRNA
RF02619	BSnc115	Brucella sRNA 115	sRNA
RF02620	BSnc119	Brucella sRNA 119	sRNA
RF02621	BSnc120	Brucella sRNA 120	sRNA
RF02622	BSnc121	Brucella sRNA 121	sRNA
RF02623	BSnc140	Brucella sRNA 140	sRNA
RF02624	BSnc150	Brucella sRNA 150	sRNA
RF02625	WsnRNA46	Wolbachia sRNA 46	sRNA
RF02626	WsnRNA59	Wolbachia sRNA 59	sRNA
RF02627	Ssr1	Shigella small RNA 1	sRNA
RF02628	Hrs1	Hfq-regulated sRNA 1	sRNA
RF02629	RmaA	Regulator of motility and amylovoran A	sRNA
RF02630	Hrs12	Hfq-regulated sRNA 12	sRNA
RF02631	Hrs13	Hfq-regulated sRNA 13	sRNA
RF02632	Hrs10	Hfq-regulated sRNA 10	sRNA
RF02633	Hrs21	Hfq-regulated sRNA 21	sRNA
RF02634	EF3314_EF3315	Enterococcus sRNA EF3314_EF3315	sRNA
RF02635	EF0820_EF0821	Enterococcus sRNA EF0820_EF0821	sRNA
RF02636	EF1368_EF1369	Enterococcus sRNA EF1368_EF1369	sRNA
RF02637	EF0408_EF0409	Enterococcus sRNA EF0408_EF0409	sRNA
RF02638	EF0605_EF0606	Enterococcus sRNA EF0605_EF0606	sRNA
RF02639	EF0869_EF0870	Enterococcus sRNA EF0869_EF0870	sRNA
RF02640	MOSES4	S. pyogenes small RNA MOSES4	sRNA
RF02641	Spy490483c	S. pyogenes small RNA Spy490483c	sRNA
RF02642	Spy491311c	S. pyogenes small RNA Spy491311c	sRNA
RF02643	Spy491738	S. pyogenes small RNA Spy491738	sRNA
RF02644	Spy490380c	S. pyogenes small RNA Spy490380c	sRNA
RF02645	Cis2_sRNA	Ruegeria cis2 sRNA	sRNA
RF02646	Cis8_sRNA	Ruegeria cis8 sRNA	sRNA
RF02647	Cis52_sRNA	Ruegeria cis52 sRNA	sRNA
RF02648	Cis90_sRNA	Ruegeria cis90 sRNA	sRNA
RF02649	Trans44_sRNA	Ruegeria trans44 sRNA	sRNA
RF02650	CncR1	Cag non-coding RNA1	sRNA
RF02651	SorY	Singlet oxygen resistance RNA Y	sRNA
RF02652	StyR-3	Salmonella enterica Typhi npcRNA 3	sRNA
RF02653	StyR-143	Salmonella enterica Typhi npcRNA 143	sRNA
RF02654	MicL	MicL sRNA	sRNA
RF02655	BSR0441	Brucella BSR0441 sRNA	sRNA
RF02656	sot0042	Sense overlapping transcript RNA 0042 (sot)	sRNA
RF02657	sot2652	Sense overlapping transcript RNA 2652 (sot)	sRNA
RF02659	ncRv12659	ncRv12659 sRNA	sRNA
RF02662	BLi_r0872	Bacillus asRNA 0872	sRNA
RF02671	Ysr35	Yersinia sRNA 35	sRNA
RF02672	SprX	Small pathogenicity island RNA X	sRNA
RF02673	scr4677	Streptomyces sRNA 4677	sRNA
RF02674	AsdA	antisense RNA of dnaA mRNA	sRNA
RF02675	Ysr141	Yersinia sRNA 141	sRNA
RF02676	Esr41	Enterohemorrhagic E. coli sRNA 41	sRNA
RF02677	NsiR4	Nitrogen stress-induced RNA 4	sRNA
RF02687	RAGATH-8	RAGATH-8 RNA	sRNA
RF02690	BTH_s1	Burkholderia sRNA 1	sRNA
RF02691	BTH_s19	Burkholderia sRNA 19	sRNA
RF02692	BTH_s39	Burkholderia sRNA 39	sRNA
RF02693	psm_mec_RNA	psm_mec locus RNA	sRNA
RF02694	RalA	RalR antitoxin	sRNA
RF02695	NrsZ	Nitrogen regulated small RNA	sRNA
RF02696	Teg49	Teg49 sRNA	sRNA
RF02701	PsrR1	Photosynthesis regulatory RNA1	sRNA
RF02702	AgvB	Anti GcvB sRNA	sRNA
RF02703	AsxR	Anti stx2 sRNA	sRNA
RF02706	TeloSII_ncR30	TeloSII non coding RNA 30	sRNA
RF02707	TeloSII_ncR33	TeloSII non coding RNA 33	sRNA
RF02708	TeloSII_ncR40	TeloSII non coding RNA 40	sRNA
RF02709	TeloSII_ncR43	TeloSII non coding RNA 43	sRNA
RF02710	TeloSII_ncR45	TeloSII non coding RNA 45	sRNA
RF02711	TeloSII_ncR49	TeloSII non coding RNA 49	sRNA
RF02712	EBER2	Epstein-Barr virus EBER2	sRNA
RF02713	MCS4	Mycoplasma sRNA MCS4	sRNA
RF02728	HrrF	Haemophilus regulatory RNA responsive to iron	sRNA
RF02729	JA01	Aggregatibacter sRNA JA01	sRNA
RF02730	JA02	Aggregatibacter sRNA JA02	sRNA
RF02731	JA03	Aggregatibacter sRNA JA03	sRNA
RF02732	JA04	Aggregatibacter sRNA JA04	sRNA
RF02734	Cgb105	Corynebacterium sRNA 105	sRNA
RF02735	Sernc350	Saccharopolyspora sRNA 350	sRNA
RF02736	Rev11	Soft rot Enterobacteriaceae Rev 11 asRNA	sRNA
RF02737	Rev13	Soft rot Enterobacteriaceae Rev 13 asRNA	sRNA
RF02738	Rev24	Soft rot Enterobacteriaceae Rev 24 asRNA	sRNA
RF02739	Rev41	Soft rot Enterobacteriaceae Rev 41 sRNA	sRNA
RF02741	Rev44	Soft rot Enterobacteriaceae Rev 44 asRNA	sRNA
RF02742	Rev72	Soft rot Enterobacteriaceae Rev 72 asRNA	sRNA
RF02743	Sernc389	Saccharopolyspora sRNA 389	sRNA
RF02746	AsrC	antisense RNA of rseC mRNA	sRNA
RF02747	FtrA	Francisella sRNA A	sRNA
RF02748	FtrB	Francisella sRNA B	sRNA
RF02749	Ncrwmel02	Wolbachia sRNA mel02	sRNA
RF02750	ES003	ES003 sRNA	sRNA
RF02751	ES036	ES036 (CssrF) sRNA	sRNA
RF02752	ES056	ES056 sRNA	sRNA
RF02753	ES173	ES173 sRNA	sRNA
RF02754	ES205	ES205 sRNA	sRNA
RF02755	ES222	ES222 sRNA	sRNA
RF02756	ES239	ES239 sRNA	sRNA
RF02757	Erse	Erse small RNA	sRNA
RF02760	sR035	sR035 sRNA	sRNA
RF02761	sR084	sR084 sRNA	sRNA
RF02763	IsrM	IsrM sRNA	sRNA
RF02764	Ysr190	Yersinia sRNA 190	sRNA
RF02765	Ysr209	Yersinia sRNA 209	sRNA
RF02766	Ysr49	Yersinia sRNA 49	sRNA
RF02767	Ysr186_sR026_CsrC	Yersinia sRNA 186/sR026/CsrC	sRNA
RF02768	Ysr155_RyfD	Yersinia sRNA 155(RyfD)	sRNA
RF02769	Ysr202	Yersinia sRNA 202	sRNA
RF02770	Ysr224	Yersinia sRNA 224	sRNA
RF02784	SorX	Singlet oxygen resistance RNA X	sRNA
RF02790	sodF_sRNA	sodF sRNA	sRNA
RF02791	CcsR1	Conserved CCUCCUCCC motif stress-induced RNA 1	sRNA
RF02792	sRNA162	Archaeal Small RNA 162	sRNA
RF02793	asR3	Pyrobaculum asRNA3	sRNA
RF02797	PssrA	Plasmid-encoded Shigella sRNA A	sRNA
RF02798	CssrA	Chromosome-encoded Shigella sRNA A	sRNA
RF02799	CssrB	Chromosome-encoded Shigella sRNA B	sRNA
RF02800	Rp_sR47	Rickettsia sRNA47	sRNA
RF02809	RsmW	RsmW RNA family	sRNA
RF02812	asponA	anti ponA RNA	sRNA
RF02814	Sso133	Sulfolobus sRNA133	sRNA
RF02818	V_AS5	Vibrio RNA AS5	sRNA
RF02819	V_AS7	Vibrio RNA AS7	sRNA
RF02820	V_AS9	Vibrio RNA AS9	sRNA
RF02821	V_IGR5	Vibrio RNA IGR5	sRNA
RF02822	Srn266	Streptococcus RNA 266	sRNA
RF02823	LPR69	Legionella RNA 69	sRNA
RF02824	LPR10	Legionella RNA 10	sRNA
RF02825	LPR17	Legionella RNA 17	sRNA
RF02826	Scr6925	Streptomyces RNA 6925	sRNA
RF02827	Scr6106	Streptomyces RNA 6106	sRNA
RF02828	Scr3920	Streptomyces RNA 3920	sRNA
RF02829	Scr4115	Streptomyces RNA 4115	sRNA
RF02830	Scr1601	Streptomyces RNA 1601	sRNA
RF02831	Scr2736	Streptomyces RNA 2736	sRNA
RF02832	Scr5676	Streptomyces RNA 5676	sRNA
RF02833	Scr3202	Streptomyces RNA 3202	sRNA
RF02834	VqmR	Vibrio RNA VqmR	sRNA
RF02835	Bcj11	Burkholderia RNA 11	sRNA
RF02836	Bcj14	Burkholderia RNA 14	sRNA
RF02837	anti-hemB	Burkholderia RNA 7 (anti-hemB)	sRNA
RF02838	Ref55	Enterococcus sRNA 55	sRNA
RF02839	Ref66	Enterococcus sRNA 66	sRNA
RF02840	Ref68	Enterococcus sRNA 68 (Lacto-3 RNA)	sRNA
RF02841	Ref70	Enterococcus sRNA 70	sRNA
RF02842	RefA1	Enterococcus sRNA A1	sRNA
RF02843	RefA5	Enterococcus sRNA A5	sRNA
RF02844	RefA9	Enterococcus sRNA A9	sRNA
RF02845	Ref1C	Enterococcus sRNA 1C	sRNA
RF02846	Ref84	Enterococcus sRNA 84	sRNA
RF02847	Ref64	Enterococcus sRNA 64	sRNA
RF02848	RefB11	Enterococcus sRNA B11	sRNA
RF02849	Ysr197	Yersinia sRNA 197	sRNA
RF02850	Ysr276	Yersinia sRNA 276	sRNA
RF02851	Ysr283	Yersinia sRNA 283	sRNA
RF02852	Ysr206	Yersinia sRNA 206	sRNA
RF02853	Ysr201	Yersinia sRNA 201	sRNA
RF02854	Ysr100	Yersinia sRNA 100	sRNA
RF02855	Ysr251	Yersinia sRNA 251	sRNA
RF02856	30_292	Leptospira sRNA 30_292	sRNA
RF02857	30_255	Leptospira sRNA 30_255	sRNA
RF02858	Arrc08	Actinobacillus sRNA 08	sRNA
RF02859	Arrc11	Actinobacillus sRNA 11	sRNA
RF02860	Arrc14	Actinobacillus sRNA 14	sRNA
RF02861	IR_84	Neisseria sRNA 84	sRNA
RF02862	sRNA_1300	Enterococcus sRNA 1300	sRNA
RF02863	sRNA_2410	Enterococcus sRNA 2410	sRNA
RF02864	sRNA_0030	Enterococcus sRNA 30	sRNA
RF02865	ncS01	Burkholderia sRNA 1	sRNA
RF02866	ncS16	Burkholderia sRNA 16 (Bc_KC_sr1)	sRNA
RF02867	ncS011	Burkholderia sRNA 11	sRNA
RF02868	ncS037	Burkholderia sRNA 37	sRNA
RF02869	ncS025	Burkholderia sRNA 25	sRNA
RF02870	ncS035	Burkholderia sRNA 35	sRNA
RF02871	ncS54	Burkholderia sRNA 54	sRNA
RF02872	SrbA	sRNA regulator of biofilms A	sRNA
RF02873	AS-traI	Antisense to traI	sRNA
RF02874	AS-traG	Antisense to traG	sRNA
RF02875	AS-pc01	Antisense to pHK01_035	sRNA
RF02876	AS-pc02	Antisense to pHK01_099	sRNA
RF02877	NmsRb	Neisseria metabolic switch regulator b (RcoF1/NgncR163)	sRNA
RF02878	MH_s7	Mesorhizobail RNA 7	sRNA
RF02879	MH_s10	Mesorhizobail RNA 10	sRNA
RF02880	MH_s15	Mesorhizobail RNA 15	sRNA
RF02881	MH_s25	Mesorhizobail RNA 25	sRNA
RF02882	MH_s36	Mesorhizobail RNA 36	sRNA
RF02883	BcKCsr2	Burkholderia sRNA 2	sRNA
RF02884	BcKCsr7	Burkholderia sRNA 7	sRNA
RF02886	npcTB_6715	Mycobacterium sRNA 6715	sRNA
RF02888	BtsR1	Bacillus sRNA 1	sRNA
RF02889	Sr006	Pseudomonas sRNA 6	sRNA
RF02890	SprC	Small pathogenicity island RNA C (srn_3610)	sRNA
RF02891	AgrB	ArsR-gov region gene B	sRNA
RF02892	SR6_antitoxin	Bacillus SR6 antitoxin	sRNA
RF02894	S35	Staphylococcus sRNA 35 (srn_0335)	sRNA
RF02895	S414	Staphylococcus sRNA 414	sRNA
RF02896	S774	Staphylococcus sRNA 774	sRNA
RF02897	S808	Staphylococcus sRNA 808	sRNA
RF02898	AaHKsRNA20	Aggregatibacter sRNA 20	sRNA
RF02899	AaHKsRNA54	Aggregatibacter sRNA 54	sRNA
RF02900	AaHKsRNA82	Aggregatibacter sRNA 82	sRNA
RF02901	AaHKsRNA41	Aggregatibacter sRNA 41	sRNA
RF02902	AaHKsRNA22	Aggregatibacter sRNA 22	sRNA
RF02903	AaHKsRNA96	Aggregatibacter sRNA 96	sRNA
RF02904	AaHKsRNA69	Aggregatibacter sRNA 69	sRNA
RF02908	rli30	Listeria sRNA rli30	sRNA
RF02909	rli117	Listeria sRNA rli117	sRNA
RF02921	RT-14	RT-14 RNA	sRNA
RF02924	skipping-rope	skipping-rope RNA	sRNA
RF02925	6A	6A RNA	sRNA
RF02926	DUF2693-FD	DUF2693-FD RNA	sRNA
RF02927	Actino-ugpB	Actino-ugpB RNA	sRNA
RF02928	Actinomyces-1	Actinomyces-1 RNA	sRNA
RF02931	Bacilli-1	Bacilli-1 RNA	sRNA
RF02932	Betaproteobacteria-1	Betaproteobacteria-1 RNA	sRNA
RF02933	ARRPOF	ARRPOF RNA	sRNA
RF02934	caiA	caiA RNA	sRNA
RF02935	che1	che1 RNA	sRNA
RF02936	Chloroflexus-1	Chloroflexus-1 RNA	sRNA
RF02937	Clostridiales-2	Clostridiales-2 RNA	sRNA
RF02938	COG2827	COG2827 RNA	sRNA
RF02941	COG3943	COG3943 RNA	sRNA
RF02942	Clostridiales-3	Clostridiales-3 RNA	sRNA
RF02943	Bacteroidales-2	Bacteroidales-2 RNA	sRNA
RF02944	c4-2	c4-2 RNA	sRNA
RF02945	Corio-PBP	Corio-PBP RNA	sRNA
RF02946	cow-rumen-1	cow-rumen-1 RNA	sRNA
RF02947	cow-rumen-2	cow-rumen-2 RNA	sRNA
RF02948	cow-rumen-4	cow-rumen-4 RNA	sRNA
RF02949	Cupriavidus-1	Cupriavidus-1 RNA	sRNA
RF02950	D12-methyl	D12-methyl RNA	sRNA
RF02952	dfrA-dnaX	dfrA-dnaX RNA	sRNA
RF02955	EGFOA	EGFOA RNA	sRNA
RF02956	DUF2693	DUF2693 RNA	sRNA
RF02957	EFASI	EFASI RNA	sRNA
RF02958	drum	drum RNA	sRNA
RF02961	DUF3800-II	DUF3800-II RNA	sRNA
RF02962	DUF3800-III	DUF3800-III RNA	sRNA
RF02963	DUF3800-IV	DUF3800-IV RNA	sRNA
RF02964	DUF3800-V	DUF3800-V RNA	sRNA
RF02965	CyVA-1	CyVA-1 RNA	sRNA
RF02966	DUF3268	DUF3268 RNA	sRNA
RF02967	DUF3800-VII	DUF3800-VII RNA	sRNA
RF02968	DUF3800-IX	DUF3800-IX RNA	sRNA
RF02969	DUF3800-I	DUF3800-I RNA	sRNA
RF02970	EGFOA-assoc-1	EGFOA-assoc-1 RNA	sRNA
RF02971	emrB-Lactobacillus	emrB-Lactobacillus RNA	sRNA
RF02973	Enterococcus-1	Enterococcus-1 RNA	sRNA
RF02975	DUF3800-XI	DUF3800-XI RNA	sRNA
RF02976	Flavobacterium-1	Flavobacterium-1 RNA	sRNA
RF02979	freshwater-1	freshwater-1 RNA	sRNA
RF02983	Fibrobacter-1	Fibrobacter-1 RNA	sRNA
RF02984	DUF3800-X	DUF3800-X RNA	sRNA
RF02985	ftsZ-DE	ftsZ-DE RNA	sRNA
RF02986	FuFi-1	FuFi-1 RNA	sRNA
RF02987	GA-cis	GA-cis RNA	sRNA
RF02988	GEBRO	GEBRO RNA	sRNA
RF02989	gntR-DTE	gntR-DTE RNA	sRNA
RF02990	gut-2	gut-2 RNA	sRNA
RF02994	IMPDH	IMPDH RNA	sRNA
RF02995	IMES-5	IMES-5 RNA	sRNA
RF02996	int-alpA	int-alpA RNA	sRNA
RF02997	HOLDH	HOLDH RNA	sRNA
RF02998	IS605-orfB-II	IS605-orfB-II RNA	sRNA
RF03000	LOOT	LOOT RNA	sRNA
RF03004	Lacto-phage-1	Lacto-phage-1 RNA	sRNA
RF03006	M23	M23 RNA	sRNA
RF03007	Mahella-1	Mahella-1 RNA	sRNA
RF03010	mcrA	mcrA RNA	sRNA
RF03011	Methylophilales-1	Methylophilales-1 RNA	sRNA
RF03012	Mu-gpT-DE	Mu-gpT-DE RNA	sRNA
RF03013	nadA	nadA RNA	sRNA
RF03014	Transposase-1	Transposase-1 RNA	sRNA
RF03015	Transposase-2	Transposase-2 RNA	sRNA
RF03016	RT-12	RT-12 RNA	sRNA
RF03017	RT-13	RT-13 RNA	sRNA
RF03018	RT-15	RT-15 RNA	sRNA
RF03019	RT-16	RT-16 RNA	sRNA
RF03020	RT-17	RT-17 RNA	sRNA
RF03021	RT-18	RT-18 RNA	sRNA
RF03022	RT-10	RT-10 RNA	sRNA
RF03023	rpfG	rpfG RNA	sRNA
RF03025	RT-4	RT-4 RNA	sRNA
RF03026	RT-5	RT-5 RNA	sRNA
RF03027	RT-6	RT-6 RNA	sRNA
RF03028	RT-7	RT-7 RNA	sRNA
RF03029	RT-8	RT-8 RNA	sRNA
RF03030	salivarius-1	salivarius-1 RNA	sRNA
RF03034	nrdJ	nrdJ RNA	sRNA
RF03035	nqrA-Marinomonas	nqrA-Marinomonas RNA	sRNA
RF03036	osmY	osmY RNA	sRNA
RF03037	PAGEV	PAGEV RNA	sRNA
RF03041	poplar-1	poplar-1 RNA	sRNA
RF03042	porB	porB RNA	sRNA
RF03043	Prevotella-2	Prevotella-2 RNA	sRNA
RF03044	Proteo-phage-1	Proteo-phage-1 RNA	sRNA
RF03045	proV	proV RNA	sRNA
RF03046	Pseudomonadales-1	Pseudomonadales-1 RNA	sRNA
RF03047	RAGATH-16	RAGATH-16 RNA	sRNA
RF03048	RAGATH-20	RAGATH-20 RNA	sRNA
RF03049	RAGATH-24	RAGATH-24 RNA	sRNA
RF03050	RAGATH-25	RAGATH-25 RNA	sRNA
RF03051	RAGATH-26	RAGATH-26 RNA	sRNA
RF03052	RAGATH-28	RAGATH-28 RNA	sRNA
RF03053	OTKONC	OTKONC RNA	sRNA
RF03055	RAGATH-30	RAGATH-30 RNA	sRNA
RF03056	RAGATH-35	RAGATH-35 RNA	sRNA
RF03059	raiA-hairpin	raiA-hairpin RNA	sRNA
RF03061	uxuA	uxuA RNA	sRNA
RF03063	Streptomyces-metK	Streptomyces-metK RNA	sRNA
RF03064	RAGATH-18	RAGATH-18 RNA	sRNA
RF03065	IS605-orfB-I	IS605-orfB-I RNA	sRNA
RF03066	COG3610-DE	COG3610-DE RNA	sRNA
RF03068	RT-3	RT-3 RNA	sRNA
RF03070	ssNA-helicase	ssNA-helicase RNA	sRNA
RF03073	RT-19	RT-19 RNA	sRNA
RF03075	DUF3800-VIII	DUF3800-VIII RNA	sRNA
RF03076	Streptomyces-metH	Streptomyces-metH RNA	sRNA
RF03077	RT-2	RT-2 RNA	sRNA
RF03079	MISL	MISL RNA	sRNA
RF03080	RT-9	RT-9 RNA	sRNA
RF03082	dinG	dinG RNA	sRNA
RF03083	cow-rumen-3	cow-rumen-3 RNA	sRNA
RF03084	DUF2815	DUF2815 RNA	sRNA
RF03085	abiF	abiF RNA	sRNA
RF03087	ROOL	ROOL RNA	sRNA
RF03088	Parabacteroides-1	Parabacteroides-1 RNA	sRNA
RF03089	cold-seep-1	cold-seep-1 RNA	sRNA
RF03091	Clostridium-PBP	Clostridium-PBP RNA	sRNA
RF03092	Ocean-VII	Ocean-VII RNA	sRNA
RF03093	queA	queA RNA	sRNA
RF03094	LAGLIDADG-2	LAGLIDADG-2 RNA	sRNA
RF03095	RAGATH-17	RAGATH-17 RNA	sRNA
RF03096	RAGATH-19	RAGATH-19 RNA	sRNA
RF03097	RAGATH-21	RAGATH-21 RNA	sRNA
RF03098	RAGATH-22	RAGATH-22 RNA	sRNA
RF03099	RAGATH-23	RAGATH-23 RNA	sRNA
RF03100	RAGATH-27	RAGATH-27 RNA	sRNA
RF03101	RAGATH-31	RAGATH-31 RNA	sRNA
RF03102	RAGATH-33	RAGATH-33 RNA	sRNA
RF03103	RAGATH-34	RAGATH-34 RNA	sRNA
RF03104	RAGATH-36	RAGATH-36 RNA	sRNA
RF03105	RAGATH-7-assoc	RAGATH-7-assoc RNA	sRNA
RF03106	RT-11	RT-11 RNA	sRNA
RF03107	saliva-tongue-1	saliva-tongue-1 RNA	sRNA
RF03108	Methylosinus-1	Methylosinus-1 RNA	sRNA
RF03110	throat-1	throat-1 RNA	sRNA
RF03111	Zeta-pan	Zeta-pan RNA	sRNA
RF03112	Staphylococcus-1	Staphylococcus-1 RNA	sRNA
RF03113	Poribacteria-1	Poribacteria-1 RNA	sRNA
RF03114	RT-1	RT-1 RNA	sRNA
RF03115	KDPG-aldolase	KDPG-aldolase RNA	sRNA
RF03145	RAGATH-14	RAGATH-14 RNA	sRNA
RF03146	RAGATH-9	RAGATH-9 RNA	sRNA
RF03147	RAGATH-10	RAGATH-10 RNA	sRNA
RF03148	RAGATH-11	RAGATH-11 RNA	sRNA
RF03149	RAGATH-12	RAGATH-12 RNA	sRNA
RF03150	RAGATH-15	RAGATH-15 RNA	sRNA
RF03153	RAGATH-4	RAGATH-4 RNA	sRNA
RF03159	RAGATH-7	RAGATH-7 RNA	sRNA
RF03162	TD-2	TD-2 RNA	sRNA
RF03163	c4-a1b1	a1, b1 targets of C4 antisense RNA	sRNA
RF03531	n00280	Clostridioides difficile sRNA included into helicase gene	sRNA
RF03533	SQ1002_RNA	Clostridioides difficile sRNA SQ1002	sRNA
RF03534	sRNA71	Staphylococcus sRNA71 small RNA	sRNA
RF04177	BTnc201	Bacteroides sRNA BTnc201	sRNA
RF04178	BTnc005	Bacteroides sRNA BTnc005	sRNA
RF04179	BTnc049	Bacteroides sRNA BTnc049	sRNA
RF04180	BTnc231	Bacteroides sRNA BTnc231	sRNA
RF04181	rteR	rteR sRNA	sRNA
RF04182	GibS	GibS sRNA	sRNA
RF04184	BTnc060	Bacteroides sRNA BTnc060	sRNA
